Name,Timestamp,Content,Comments,Retweets,Likes,Tags,Mentions,Tweet ID,Handle,Sentiment,Contains False Info,Verify,Engagement
The Informer,2024-07-01 07:05:18+00:00," Powerful storms have wreaked havoc in France, Switzerland, and Italy, claiming seven lives. Stay updated on safety advisories and support relief efforts. #Storms #SafetyFirst #France #Switzerland #Italy #NaturalDisaster #BeInformed #News #WorldNe… read:",0,0,0,"['#Storms', '#SafetyFirst', '#France', '#Switzerland', '#Italy', '#NaturalDisaster', '#BeInformed', '#News', '#WorldNe']",[],tweet_id:1807671806926496094,@TheInformerEng,0.3,False,False,0
Awaz-The Voice,2024-07-01 06:48:14+00:00,Gujarat rains: Massive sinkhole opens in Ahmedabadhttps://awazthevoice.in/india-news/gujarat-rains-massive-sinkhole-opens-in-ahmedabad-29736.html…#GujaratRains #AhmedabadSinkhole #NaturalDisaster #RainDamage #InfrastructureConcerns #GujaratWeather #SinkholeEmergency #UrbanSafety #MonsoonImpact #AhmedabadNews #AwazTheVoice,0,0,0,"['#GujaratRains', '#AhmedabadSinkhole', '#NaturalDisaster', '#RainDamage', '#InfrastructureConcerns', '#GujaratWeather', '#SinkholeEmergency', '#UrbanSafety', '#MonsoonImpact', '#AhmedabadNews', '#AwazTheVoice']",[],tweet_id:1807667512030503336,@AwazThevoice,0.0,False,False,0
Sinar Daily,2024-07-01 04:33:29+00:00,The body of a 37-year-old woman believed to have been swept away by flood waters here last night has been found. #Penampang #floods #naturaldisaster #death #fatality,0,0,0,"['#Penampang', '#floods', '#naturaldisaster', '#death', '#fatality']",[],tweet_id:1807633603603382630,@sinardailymy,0.0,False,False,0
Asha Fassbender,2024-07-01 02:28:21+00:00,"Cajun Navy, youth group assist with tornado clean up in Arkansas   #NaturalDisaster #Weather #DisasterRelief #DisasterResponse [Video]https://energynewsvideo.com/cajun-navy-youth-group-assist-with-tornado-clean-up-in-arkansas-video/?uspl=mliaf01tw…",0,0,0,"['#NaturalDisaster', '#Weather', '#DisasterRelief', '#DisasterResponse']",[],tweet_id:1807602109061492916,@FassbenderENG,0.3666666666666667,False,False,0
Asha Fassbender,2024-06-30 21:03:19+00:00,Cajun Navy helps with Arkansas tornado clean up   #NaturalDisaster #Weather #DisasterRelief #DisasterResponse #Disasters [Video]https://energynewsvideo.com/cajun-navy-helps-with-arkansas-tornado-clean-up-video/?uspl=mliaf01tw…,0,0,0,"['#NaturalDisaster', '#Weather', '#DisasterRelief', '#DisasterResponse', '#Disasters']",[],tweet_id:1807520311581303276,@FassbenderENG,0.3666666666666667,False,False,0
SCMJobs,2024-06-30 21:00:01+00:00,7 Vital Steps to Bulletproof Your Automotive Supply Chain Against Natural Disasters#AutomotiveSupplyChain #NaturalDisaster #LogisticsManagement #SupplyChainRisk #supplychainmanagement #WarehouseManagement #Ecommerce #supplychain #SupplyChainLogistics #SCMJobs,0,0,0,"['#AutomotiveSupplyChain', '#NaturalDisaster', '#LogisticsManagement', '#SupplyChainRisk', '#supplychainmanagement', '#WarehouseManagement', '#Ecommerce', '#supplychain', '#SupplyChainLogistics', '#SCMJobs']",[],tweet_id:1807519481553355156,@SCMJobs247,0.1,False,False,0
Kristy Tallman,2024-06-30 19:45:43+00:00,[Video] WILDFIRE NEWS : Boulder View Fire Continues Burning Near Scottsdale#WildfireNews #BoulderViewFire #Scottsdale #Wildfire #Evacuations #FireSafety #BreakingNews #EmergencyResponse #PublicSafety #NaturalDisaster #ArizonaFire #Wildfire #Weather,0,0,0,"['#BoulderViewFire', '#Scottsdale', '#Wildfire', '#Evacuations', '#FireSafety', '#BreakingNews', '#EmergencyResponse', '#PublicSafety', '#NaturalDisaster', '#ArizonaFire', '#Wildfire', '#Weather']",[],tweet_id:1807500783719739785,@KristyTallman,0.1,False,False,0
The Daily Intake,2024-06-30 14:30:00+00:00,Hurricane Beryl Intensifies to Dangerous Category 3  #Beryl #Huricane #HurricaneBeryl #Category3 #StormAlert #NHC #USNHC #WeatherUpdate #StaySafe #Barbados #Carribean #NaturalDisaster #AtlanticOcean #TheDailyIntake,0,0,0,"['#Beryl', '#Huricane', '#HurricaneBeryl', '#Category3', '#StormAlert', '#NHC', '#USNHC', '#WeatherUpdate', '#StaySafe', '#Barbados', '#Carribean', '#NaturalDisaster', '#AtlanticOcean', '#TheDailyIntake']",[],tweet_id:1807421330830049494,@dailyintake2023,-0.6,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-30 13:32:58+00:00,Hurricane Beryl Threatens Caribbean Islands with Intensifying Windshttps://youtu.be/ZLTZ0uCDgXY#HurricaneBeryl #CaribbeanThreat #IntensifyingWinds #StormAlert #EmergencyPreparedness #NaturalDisaster #StaySafe #WeatherWarning #TropicalStorm #IslandImpact #hotnews #news #breakin,0,0,0,"['#HurricaneBeryl', '#CaribbeanThreat', '#IntensifyingWinds', '#StormAlert', '#EmergencyPreparedness', '#NaturalDisaster', '#StaySafe', '#WeatherWarning', '#TropicalStorm', '#IslandImpact', '#hotnews', '#news', '#breakin']",[],tweet_id:1807406981252358546,@mirror7news,0.0,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-30 13:15:52+00:00,Hurricane Beryl Threatens Caribbean Islands with Intensifying Windshttps://savinews.com/hurricane-beryl-threatens-caribbean-islands-with-intensifying-winds/…#HurricaneBeryl #CaribbeanThreat #IntensifyingWinds #StormAlert #EmergencyPreparedness #NaturalDisaster #StaySafe #We,0,0,0,"['#HurricaneBeryl', '#CaribbeanThreat', '#IntensifyingWinds', '#StormAlert', '#EmergencyPreparedness', '#NaturalDisaster', '#StaySafe', '#We']",[],tweet_id:1807402676956573884,@mirror7news,0.0,False,False,0
News18,2024-06-30 10:37:57+00:00,A massive #avalanche occurred over the #GandhiSarovar in #Kedarnath#KedarnathAvalanche #NaturalDisaster #kedarnathdham #KedarnathTemple #Uttarakhand https://news18.com/india/massive-avalanche-hits-gandhi-sarovar-in-kedarnath-no-casualties-reported-video-8949701.html…,0,2,6,"['#avalanche', '#GandhiSarovar', '#Kedarnath', '#KedarnathAvalanche', '#NaturalDisaster', '#kedarnathdham', '#KedarnathTemple', '#Uttarakhand']",[],tweet_id:1807362935741673716,@CNNnews18,0.0,False,False,8
Nopolluting,2024-06-30 06:58:13+00:00,"#BREAKING Severe flooding in Noasca, Italy, due to torrential rain and thunderstorms has caused life-threatening flash floods in the Orco Valley. #ItalyFloods #OrcoValley #floods #naturaldisaster",0,4,1,"['#BREAKING', '#ItalyFloods', '#OrcoValley', '#floods', '#naturaldisaster']",[],tweet_id:1807307636662010057,@nopolluting,-0.125,False,False,5
Asha Fassbender,2024-06-30 01:51:25+00:00,Ascension Parish volunteers collecting supplies for tornado victims in Mississippi   #NaturalDisaster #Weather #Fire [Video]https://energynewsvideo.com/ascension-parish-volunteers-collecting-supplies-for-tornado-victims-in-mississippi-video/?uspl=mliaf01tw…,0,0,0,"['#NaturalDisaster', '#Weather', '#Fire']",[],tweet_id:1807230428920873119,@FassbenderENG,0.0,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-29 23:21:52+00:00,"Tropical Storm Beryl Strengthens, Likely to Become Hurricanehttps://youtu.be/njL753ybI3c#TropicalStormBeryl #HurricaneBeryl #StormStrengthens #WeatherAlert #TropicalWeather #HurricaneSeason #StaySafe #NaturalDisaster #EmergencyPreparedness #ClimateChange #hotnews #news #breaki",0,1,2,"['#TropicalStormBeryl', '#HurricaneBeryl', '#StormStrengthens', '#WeatherAlert', '#TropicalWeather', '#HurricaneSeason', '#StaySafe', '#NaturalDisaster', '#EmergencyPreparedness', '#ClimateChange', '#hotnews', '#news', '#breaki']",[],tweet_id:1807192793208762399,@mirror7news,0.0,False,False,3
Daily News - Trending | Breaking | Technology,2024-06-29 23:02:08+00:00,"Tropical Storm Beryl Strengthens, Likely to Become Hurricanehttps://savinews.com/tropical-storm-beryl-strengthens-likely-to-become-hurricane/…#TropicalStormBeryl #HurricaneBeryl #StormStrengthens #WeatherAlert #TropicalWeather #HurricaneSeason #StaySafe #NaturalDisaster #Em",0,1,0,"['#TropicalStormBeryl', '#HurricaneBeryl', '#StormStrengthens', '#WeatherAlert', '#TropicalWeather', '#HurricaneSeason', '#StaySafe', '#NaturalDisaster', '#Em']",[],tweet_id:1807187828444651531,@mirror7news,0.0,False,False,1
SCMJobs,2024-06-29 21:00:00+00:00,Automotive Supply Chain Superheroes: 7 Ways Your Expertise Can Fortify the Industry#AutomotiveSupplyChain #NaturalDisaster #LogisticsManagement #AutomotiveSupplyChain #supplychainmanagement #WarehouseManagement #Ecommerce #supplychain #SupplyChainLogistics #SCMJobs,0,0,0,"['#AutomotiveSupplyChain', '#NaturalDisaster', '#LogisticsManagement', '#AutomotiveSupplyChain', '#supplychainmanagement', '#WarehouseManagement', '#Ecommerce', '#supplychain', '#SupplyChainLogistics', '#SCMJobs']",[],tweet_id:1807157093008359505,@SCMJobs247,0.0,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-29 19:35:44+00:00,Tornado Strikes Osage City and Causes Extensive Damage at Melvern Lake Marinahttps://youtu.be/uCWtlF4CmDw#TornadoDamage #OsageCity #MelvernLake #NaturalDisaster #ExtremeWeather #EmergencyResponse #DisasterRelief #StormDamage #KansasWeather #TornadoSeason #hotnews #news #breaki,0,0,2,"['#TornadoDamage', '#OsageCity', '#MelvernLake', '#NaturalDisaster', '#ExtremeWeather', '#EmergencyResponse', '#DisasterRelief', '#StormDamage', '#KansasWeather', '#TornadoSeason', '#hotnews', '#news', '#breaki']",[],tweet_id:1807135884929831300,@mirror7news,0.0,False,False,2
Daily News - Trending | Breaking | Technology,2024-06-29 19:17:33+00:00,Tornado Strikes Osage City and Causes Extensive Damage at Melvern Lake Marinahttps://savinews.com/tornado-strikes-osage-city-and-causes-extensive-damage-at-melvern-lake-marina/…#TornadoDamage #OsageCity #MelvernLake #NaturalDisaster #ExtremeWeather #EmergencyResponse #Disas,0,0,0,"['#TornadoDamage', '#OsageCity', '#MelvernLake', '#NaturalDisaster', '#ExtremeWeather', '#EmergencyResponse', '#Disas']",[],tweet_id:1807131308939948473,@mirror7news,0.0,False,False,0
Prime Tv,2024-06-29 08:52:46+00:00,Nepal में भारी बारिश ने मचाई तबाही लैंडस्लाइड और बाढ़ से हुई 7 लोगों की मौत#Nepal #roadaccidents #naturaldisaster #NepalPolice #Chandranigahpur #landslides #Flood,0,0,2,"['#Nepal', '#roadaccidents', '#naturaldisaster', '#NepalPolice', '#Chandranigahpur', '#landslides', '#Flood']",[],tweet_id:1806974076386214137,@primetvindia,0.0,False,False,2
DXB News Network,2024-06-29 08:43:56+00:00,"Tragic Event in Nepal: Landslide Takes Nine Lives, Including Three Children
.
Read Full News: https://dxbnewsnetwork.com/nepal-tragedy-landslide-claims-lives-of-9-including-3-children….#Nepal #MonsoonSeason #Landslides #NaturalDisaster #Gulmi #dxbnewsnetwork #breakingnews #headlines #trendingnews #dxbnews #dxbdnn",0,0,1,"['#Nepal', '#MonsoonSeason', '#Landslides', '#NaturalDisaster', '#Gulmi', '#dxbnewsnetwork', '#breakingnews', '#headlines', '#trendingnews', '#dxbnews', '#dxbdnn']",[],tweet_id:1806971854609060131,@dxbnewsnetwork,-0.2,False,False,1
Recanteur Media,2024-06-29 08:42:43+00:00,"""Kathakar Mouli, a Community Storyteller, faced Cyclone Remal. Urgent need for #SundarbansInfrastructure and better #DisasterRelief At Recanteur, we empower communities.- https://recanteur.com/gallery/#cycloneremal #sundarbans #climateaction #naturaldisaster",0,0,0,"['#SundarbansInfrastructure', '#DisasterRelief', '#cycloneremal', '#sundarbans', '#climateaction', '#naturaldisaster']",[],tweet_id:1806971546508144799,@recanteurmedia,0.5,False,False,0
🅹🅹🅶,2024-06-29 07:08:04+00:00,"I guess it should have been the failed state of #WestBengal Govt first declare this as a #NaturalDisaster where the center would have agreed so and released the Disaster Releif Fund.
Here is an admittance of the states representative  from GTA admitting the same.",0,1,0,"['#WestBengal', '#NaturalDisaster']",['@AnitThapa14'],tweet_id:1806947729421017258,@JordenJigmie,-0.0875,False,False,1
mijaaj news,2024-06-29 06:21:21+00:00,"ચોમાસાના પહેલાજ વરસાદમાં હિમાચલ પ્રદેશમાં નદીઓ બની ગાંડીતૂર, શિમલમાં પણ વાહનો કાટમાળમાં દટાઈ ગયા.  #mijaajnews #viral #NRG #trendingnews #HimachalPradesh #Monsoon #Floods #RiverOverflow #Shimla #VehiclesBuried #HeavyRainfall #NaturalDisaster #Monsoon2024 #FloodAlert",0,0,0,"['#mijaajnews', '#viral', '#NRG', '#trendingnews', '#HimachalPradesh', '#Monsoon', '#Floods', '#RiverOverflow', '#Shimla', '#VehiclesBuried', '#HeavyRainfall', '#NaturalDisaster', '#Monsoon2024', '#FloodAlert']",[],tweet_id:1806935970232848671,@MijaajNews,0.0,False,False,0
Bowline Adventure,2024-06-29 03:10:32+00:00,"Stay safe DK!

Be prepared for emergencies! Share with your friends and family.#dkdistrict #naturaldisaster #disasterpreparedness #mangaluru #dakshinakannadahttps://instagram.com/p/C8uiUhhs998/?igsh=bHd3amplMzNhaWJt…",0,0,0,"['#dkdistrict', '#naturaldisaster', '#disasterpreparedness', '#mangaluru', '#dakshinakannada']",[],tweet_id:1806887952888258874,@BowlineAdv,0.78125,False,True,0
No Fluff News,2024-06-29 01:40:12+00:00,"Midwest Flooding

Heavy rains in the Midwest cause flooding, threatening dam failure and leading to evacuations and rescues. Severe storms forecast for more rain and damaging winds. Flooding dama...#MidwestFlooding #NaturalDisaster #EmergencyResponsehttps://nofluff.news/tldr/20240625/midwest-flooding…",0,0,0,"['#MidwestFlooding', '#NaturalDisaster', '#EmergencyResponse']",[],tweet_id:1806865216518369775,@RealNoFluffNews,-0.005555555555555573,False,False,0
jomirife,2024-06-29 01:24:05+00:00,Hurricane shatter all the windows of a small school https://youtube.com/watch?v=ZHgytPzV9Mc… . #storm #badweather #wind #coimbra #floods #disaster #naturaldisaster #destruction #damages #hurricane #hurricanes,0,0,0,"['#storm', '#badweather', '#wind', '#coimbra', '#floods', '#disaster', '#naturaldisaster', '#destruction', '#damages', '#hurricane', '#hurricanes']",[],tweet_id:1806861162266362097,@jomirife,-0.25,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-28 21:27:22+00:00,Essential Steps for Severe Weather Preparednesshttps://savinews.com/essential-steps-for-severe-weather-preparedness/…#SevereWeatherPreparedness #EmergencyPreparedness #SafetyFirst #StaySafe #BePrepared #WeatherAlert #NaturalDisaster #EmergencyKit #PrepareNow #StayInformed #,0,0,0,"['#SevereWeatherPreparedness', '#EmergencyPreparedness', '#SafetyFirst', '#StaySafe', '#BePrepared', '#WeatherAlert', '#NaturalDisaster', '#EmergencyKit', '#PrepareNow', '#StayInformed']",[],tweet_id:1806801591384908211,@mirror7news,0.0,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-28 20:46:58+00:00,Essential Tips for Severe Weather Preparednesshttps://youtu.be/cwxeezL_jOM#SevereWeatherTips #WeatherPreparedness #EmergencyPreparedness #StaySafe #BePrepared #NaturalDisaster #SafetyFirst #EmergencyKit #WeatherAlert #PrepareNow #hotnews #news #breaking #Business #BusinessNews,0,1,1,"['#SevereWeatherTips', '#WeatherPreparedness', '#EmergencyPreparedness', '#StaySafe', '#BePrepared', '#NaturalDisaster', '#SafetyFirst', '#EmergencyKit', '#WeatherAlert', '#PrepareNow', '#hotnews', '#news', '#breaking', '#Business', '#BusinessNews']",[],tweet_id:1806791421955027222,@mirror7news,0.0,False,False,2
Daily News - Trending | Breaking | Technology,2024-06-28 20:29:31+00:00,Essential Tips for Severe Weather Preparednesshttps://savinews.com/essential-tips-for-severe-weather-preparedness/…#SevereWeatherTips #WeatherPreparedness #EmergencyPreparedness #StaySafe #BePrepared #NaturalDisaster #SafetyFirst #EmergencyKit #WeatherAlert #PrepareNow #hot,0,0,0,"['#SevereWeatherTips', '#WeatherPreparedness', '#EmergencyPreparedness', '#StaySafe', '#BePrepared', '#NaturalDisaster', '#SafetyFirst', '#EmergencyKit', '#WeatherAlert', '#PrepareNow', '#hot']",[],tweet_id:1806787031936507943,@mirror7news,0.125,False,False,0
ClipCast,2024-06-28 17:10:17+00:00, Urgent: Natural disaster strikes region; humanitarian efforts mobilized. Community support needed. #NaturalDisaster #BreakingNews,0,0,0,"['#NaturalDisaster', '#BreakingNews']",[],tweet_id:1806736893742362723,@ClipCas1,0.1,False,False,0
AIR News Gujarat,2024-06-28 13:02:03+00:00,"પેરુમાં આવ્યો 7.2ની તીવ્રતાનો ભૂકંપનો આંચકો 

ભૂકંપનું કેન્દ્રબિંદુ એટીક્વિપાથી 8.8 કિમી દૂર નોંધાયું હતું  #PeruEarthquake #earthquake #Atiquipa #EarthquakeAlert #AtiquipaDistrict #SouthAmerica #disaster #NaturalDisaster #SeismicActivity #EarthquakeNews",0,0,0,"['#PeruEarthquake', '#earthquake', '#Atiquipa', '#EarthquakeAlert', '#AtiquipaDistrict', '#SouthAmerica', '#disaster', '#NaturalDisaster', '#SeismicActivity', '#EarthquakeNews']",[],tweet_id:1806674425095336213,@airnews_abad,0.0,False,False,0
Vibhor Mehra,2024-06-28 11:34:45+00:00,"#ModiKiSaazish#NaturalDisaster#GodsRevengeForJailingKejriwal...fertile minds, keep thinking...",0,0,0,"['#ModiKiSaazish', '#NaturalDisaster', '#GodsRevengeForJailingKejriwal']",[],tweet_id:1806652452751450134,@vibhormehra,0.0,False,False,0
Al-Mukhbir,2024-06-28 11:33:35+00:00,"Breaking News: A powerful 7.2-magnitude earthquake rocks Peru, leaving at least 6 injured.#PeruEarthquake #BreakingNews #StaySafe #NaturalDisaster #EmergencyResponse #Japan #Hillary #Kamala #Europe",0,0,0,"['#PeruEarthquake', '#BreakingNews', '#StaySafe', '#NaturalDisaster', '#EmergencyResponse', '#Japan', '#Hillary', '#Kamala', '#Europe']",[],tweet_id:1806652159527657939,@al_mukhbir,0.0,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-28 11:16:07+00:00,"Magnitude 7.2 Earthquake Strikes Off Peru Coast, Tsunami Threat Issuedhttps://youtu.be/Vy0BsIvUlDs#earthquake #peru #tsunami #disaster #naturaldisaster #emergency #safety #alert #coastal #magnitude #hotnews #news #breaking #Business #BusinessNews #Health #HealthNews #World #Wo",0,0,0,"['#earthquake', '#peru', '#tsunami', '#disaster', '#naturaldisaster', '#emergency', '#safety', '#alert', '#coastal', '#magnitude', '#hotnews', '#news', '#breaking', '#Business', '#BusinessNews', '#Health', '#HealthNews', '#World', '#Wo']",[],tweet_id:1806647763561779539,@mirror7news,0.0,False,False,0
dlzhang,2024-06-28 11:08:00+00:00,International Lightning Safety Day meeting will be live stream in an hour. Please join us to promote lightning safety and mitigate lightning disaster! #lightning #lightningsafety #lightningkills #naturaldisaster #SpreadTheWord #SaveLives,1,4,4,"['#lightning', '#lightningsafety', '#lightningkills', '#naturaldisaster', '#SpreadTheWord', '#SaveLives']",[],tweet_id:1806645719790461369,@nesecond,0.08522727272727272,False,False,9
Daily News - Trending | Breaking | Technology,2024-06-28 08:49:14+00:00,"Magnitude 7.2 Earthquake Strikes Off Peru, Triggering Tsunami Threathttps://savinews.com/magnitude-7-2-earthquake-strikes-off-peru-triggering-tsunami-threat/…#earthquake #peru #tsunami #naturaldisaster #disaster #emergency #safety #earthquaketriggeredtsunami #magnitude7.2 #",0,0,0,"['#earthquake', '#peru', '#tsunami', '#naturaldisaster', '#disaster', '#emergency', '#safety', '#earthquaketriggeredtsunami', '#magnitude7']",[],tweet_id:1806610798204362958,@mirror7news,0.0,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-28 08:34:28+00:00,"Magnitude 7.2 Earthquake Strikes Off Peru Coast, Tsunami Threat Issuedhttps://savinews.com/magnitude-7-2-earthquake-strikes-off-peru-coast-tsunami-threat-issued/…#earthquake #peru #tsunami #disaster #naturaldisaster #emergency #safety #alert #coastal #magnitude #hotnews #ne",0,1,1,"['#earthquake', '#peru', '#tsunami', '#disaster', '#naturaldisaster', '#emergency', '#safety', '#alert', '#coastal', '#magnitude', '#hotnews', '#ne']",[],tweet_id:1806607082960920740,@mirror7news,0.0,False,False,2
NEWSBLARE,2024-06-28 08:30:59+00:00,"After the heatwave and water crisis, Delhi faces heavy rainfall yesterday night. #delhi #delhidiaries #delhinews #imd #imdalert #rainfall #heavyrain #storm #stormclouds #naturaldisaster #flood #delhinews #delhincr #trending #trendingnow #trendingreels #viral #viralreels",0,0,0,"['#delhi', '#delhidiaries', '#delhinews', '#imd', '#imdalert', '#rainfall', '#heavyrain', '#storm', '#stormclouds', '#naturaldisaster', '#flood', '#delhinews', '#delhincr', '#trending', '#trendingnow', '#trendingreels', '#viral', '#viralreels']",[],tweet_id:1806606205701308653,@NewsblareMedia,-0.2,False,False,0
Daily News - Trending | Breaking | Technology,2024-06-28 07:52:39+00:00,"Magnitude 7.2 Earthquake Hits Off Peru, Tsunami Threat Issuedhttps://youtu.be/94qXmT86b8M#PeruEarthquake #TsunamiThreat #Magnitude7.2 #PeruStrong #EarthquakeAlert #NaturalDisaster #EmergencyResponse #StaySafePeru #PrayForPeru #DisasterRelief #hotnews #news #breaking #Business",0,1,1,"['#PeruEarthquake', '#TsunamiThreat', '#Magnitude7', '#PeruStrong', '#EarthquakeAlert', '#NaturalDisaster', '#EmergencyResponse', '#StaySafePeru', '#PrayForPeru', '#DisasterRelief', '#hotnews', '#news', '#breaking', '#Business']",[],tweet_id:1806596558080926185,@mirror7news,0.0,False,False,2
PTN News,2024-06-28 07:47:52+00:00,Peruમાં 7.2ની તીવ્રતાનો શક્તિશાળી ભૂકંપ#PeruEarthquake #Atiquipa #EarthquakeAlert #AtiquipaDistrict #TsunamiWarning #NaturalDisaster #SeismicActivity #EmergencyResponse #ptnnews,0,0,0,"['#PeruEarthquake', '#Atiquipa', '#EarthquakeAlert', '#AtiquipaDistrict', '#TsunamiWarning', '#NaturalDisaster', '#SeismicActivity', '#EmergencyResponse', '#ptnnews']",[],tweet_id:1806595354978328636,@Ptnnewsofficial,0.0,False,False,0
