Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Firmus News Network,@FNNNewsIndia,2024-07-01T08:03:31.000Z,False,"Due to heavy rainfall, the water level of the Ganga in Haridwar has surged, leading to flooding of roads and vehicles floating. Officials are urging people to refrain from bathing in the river.#fnn #floodalert #haridwarlivevideo #naturaldisaster #weatherwarning #uttarakhand",0,0,0,34,"['#fnn', '#floodalert', '#haridwarlivevideo', '#naturaldisaster', '#weatherwarning', '#uttarakhand']",[],[],https://pbs.twimg.com/profile_images/1707646220728946688/VvGOq1p__normal.jpg,https://x.com/FNNNewsIndia/status/1807686457680687352,tweet_id:1807686457680687352
Asia News Network,@asianewsnetwork,2024-07-01T07:31:29.000Z,False,"The flood-hit areas included the Tha Rua Monument intersection, the Ban Koh Kaew community, a road in front of Ban Pon housing estate, and a road in front of Blue Tree Choeng Thale Hotel. #NaturalDisaster #Thailand #TheNationhttps://asianews.network/heavy-overnight-rains-leave-many-areas-in-phuket-flooded/…",0,0,0,60,"['#NaturalDisaster', '#Thailand', '#TheNation']",[],[],https://pbs.twimg.com/profile_images/1481823759237795840/RWm3CWcq_normal.jpg,https://x.com/asianewsnetwork/status/1807678394802336023,tweet_id:1807678394802336023
Dëmin 明德,@deminism,2024-07-01T07:09:34.000Z,False,We just experienced a huge flood in Valais—part of our built assets have vanished. Devastating times. #ValaisFlood #NaturalDisaster,0,0,0,39,"['#ValaisFlood', '#NaturalDisaster']",[],[],https://pbs.twimg.com/profile_images/1198272052966383616/D5t1PTQ0_normal.jpg,https://x.com/deminism/status/1807672882228539535,tweet_id:1807672882228539535
Bishnu PatIr,@imbishnu_18,2024-07-01T07:07:13.000Z,False,"इस बड़ी बाढ़ आपदा में असम की मदद करें।

 #Assamfloods #Himanta #NarendraModi #Disaster #Floods#PM #centralgovt #Assam #Naturaldisaster #RiverflowsinAssam",0,0,0,52,"['#Assamfloods', '#Himanta', '#NarendraModi', '#Disaster', '#Floods', '#PM', '#centralgovt', '#Assam', '#Naturaldisaster', '#RiverflowsinAssam']",[],[],https://pbs.twimg.com/profile_images/1781222553924882432/FQ3CkRiO_normal.jpg,https://x.com/imbishnu_18/status/1807672290819121215,tweet_id:1807672290819121215
The Informer,@TheInformerEng,2024-07-01T07:05:18.000Z,True," Powerful storms have wreaked havoc in France, Switzerland, and Italy, claiming seven lives. Stay updated on safety advisories and support relief efforts. #Storms #SafetyFirst #France #Switzerland #Italy #NaturalDisaster #BeInformed #News #WorldNe… read:",0,0,0,24,"['#Storms', '#SafetyFirst', '#France', '#Switzerland', '#Italy', '#NaturalDisaster', '#BeInformed', '#News', '#WorldNe']",[],['\\u26a0\\ufe0f'],https://pbs.twimg.com/profile_images/1798598176863031296/madQeOLc_normal.jpg,https://x.com/TheInformerEng/status/1807671806926496094,tweet_id:1807671806926496094
Awaz-The Voice,@AwazThevoice,2024-07-01T06:48:14.000Z,True,Gujarat rains: Massive sinkhole opens in Ahmedabadhttps://awazthevoice.in/india-news/gujarat-rains-massive-sinkhole-opens-in-ahmedabad-29736.html…#GujaratRains #AhmedabadSinkhole #NaturalDisaster #RainDamage #InfrastructureConcerns #GujaratWeather #SinkholeEmergency #UrbanSafety #MonsoonImpact #AhmedabadNews #AwazTheVoice,0,0,0,69,"['#GujaratRains', '#AhmedabadSinkhole', '#NaturalDisaster', '#RainDamage', '#InfrastructureConcerns', '#GujaratWeather', '#SinkholeEmergency', '#UrbanSafety', '#MonsoonImpact', '#AhmedabadNews', '#AwazTheVoice']",[],[],https://pbs.twimg.com/profile_images/1720752298744287232/FH52aTwM_normal.png,https://x.com/AwazThevoice/status/1807667512030503336,tweet_id:1807667512030503336
Bishnu PatIr,@imbishnu_18,2024-07-01T06:28:01.000Z,False,"এতিয়া ৰাজনীতিৰ অন্ত পেলাই বিপক্ষ, শাসকীয় সকলোৱে মিলি বানত বুৰ যোৱা, ককবকাই থকা জনতাক উদ্ধাৰ কৰক। এয়া আমাৰ কাতৰ আহ্বান   #NarendraModi #CMofAssam#FloodInAssam #Flooddisaster #Assam #BrahmaputraRiver #NaturalDisaster",0,0,0,15,"['#NarendraModi', '#CMofAssam', '#FloodInAssam', '#Flooddisaster', '#Assam', '#BrahmaputraRiver', '#NaturalDisaster']","['@himantabiswa', '@GauravGogoiAsm']",['\\U0001f64f'],https://pbs.twimg.com/profile_images/1781222553924882432/FQ3CkRiO_normal.jpg,https://x.com/imbishnu_18/status/1807662426634043536,tweet_id:1807662426634043536
Bishnu PatIr,@imbishnu_18,2024-07-01T06:19:23.000Z,False,"এতিয়া ৰাজনীতিৰ অন্ত পেলাই বিপক্ষ, শাসকীয় সকলোৱে মিলি বানত বুৰ যোৱা, ককবকাই থকা জনতাক উদ্ধাৰ কৰক। এয়া আমাৰ কাতৰ আহ্বান   #FloodInAssam #Flooddisaster #Assam #BrahmaputraRiver #NaturalDisaster",0,0,0,17,"['#FloodInAssam', '#Flooddisaster', '#Assam', '#BrahmaputraRiver', '#NaturalDisaster']","['@himantabiswa', '@GauravGogoiAsm']",['\\U0001f64f'],https://pbs.twimg.com/profile_images/1781222553924882432/FQ3CkRiO_normal.jpg,https://x.com/imbishnu_18/status/1807660254106210735,tweet_id:1807660254106210735
Sinar Daily,@sinardailymy,2024-07-01T04:33:29.000Z,True,The body of a 37-year-old woman believed to have been swept away by flood waters here last night has been found. #Penampang #floods #naturaldisaster #death #fatality,0,0,0,61,"['#Penampang', '#floods', '#naturaldisaster', '#death', '#fatality']",[],[],https://pbs.twimg.com/profile_images/1706145575341875200/OJpTSVQU_normal.jpg,https://x.com/sinardailymy/status/1807633603603382630,tweet_id:1807633603603382630
Asha Fassbender,@FassbenderENG,2024-07-01T02:28:21.000Z,False,"Cajun Navy, youth group assist with tornado clean up in Arkansas   #NaturalDisaster #Weather #DisasterRelief #DisasterResponse [Video]https://energynewsvideo.com/cajun-navy-youth-group-assist-with-tornado-clean-up-in-arkansas-video/?uspl=mliaf01tw…",0,0,0,10,"['#NaturalDisaster', '#Weather', '#DisasterRelief', '#DisasterResponse']",[],[],https://pbs.twimg.com/profile_images/1565505770879426563/k0PWpbeU_normal.jpg,https://x.com/FassbenderENG/status/1807602109061492916,tweet_id:1807602109061492916
Asha Fassbender,@FassbenderENG,2024-06-30T21:03:19.000Z,False,Cajun Navy helps with Arkansas tornado clean up   #NaturalDisaster #Weather #DisasterRelief #DisasterResponse #Disasters [Video]https://energynewsvideo.com/cajun-navy-helps-with-arkansas-tornado-clean-up-video/?uspl=mliaf01tw…,0,0,0,14,"['#NaturalDisaster', '#Weather', '#DisasterRelief', '#DisasterResponse', '#Disasters']",[],[],https://pbs.twimg.com/profile_images/1565505770879426563/k0PWpbeU_normal.jpg,https://x.com/FassbenderENG/status/1807520311581303276,tweet_id:1807520311581303276
SCMJobs,@SCMJobs247,2024-06-30T21:00:01.000Z,False,7 Vital Steps to Bulletproof Your Automotive Supply Chain Against Natural Disasters#AutomotiveSupplyChain #NaturalDisaster #LogisticsManagement #SupplyChainRisk #supplychainmanagement #WarehouseManagement #Ecommerce #supplychain #SupplyChainLogistics #SCMJobs,0,0,0,14,"['#AutomotiveSupplyChain', '#NaturalDisaster', '#LogisticsManagement', '#SupplyChainRisk', '#supplychainmanagement', '#WarehouseManagement', '#Ecommerce', '#supplychain', '#SupplyChainLogistics', '#SCMJobs']",[],[],https://pbs.twimg.com/profile_images/1753524174591553536/VtfoIy-g_normal.jpg,https://x.com/SCMJobs247/status/1807519481553355156,tweet_id:1807519481553355156
Kristy Tallman,@KristyTallman,2024-06-30T19:45:43.000Z,False,[Video] WILDFIRE NEWS : Boulder View Fire Continues Burning Near Scottsdale#WildfireNews #BoulderViewFire #Scottsdale #Wildfire #Evacuations #FireSafety #BreakingNews #EmergencyResponse #PublicSafety #NaturalDisaster #ArizonaFire #Wildfire #Weather,0,0,0,329,"['#BoulderViewFire', '#Scottsdale', '#Wildfire', '#Evacuations', '#FireSafety', '#BreakingNews', '#EmergencyResponse', '#PublicSafety', '#NaturalDisaster', '#ArizonaFire', '#Wildfire', '#Weather']",[],"['\\U0001f525', '\\u26a0\\ufe0f']",https://pbs.twimg.com/profile_images/1702594148170371072/6i_TeMyA_normal.jpg,https://x.com/KristyTallman/status/1807500783719739785,tweet_id:1807500783719739785
Abhishek Sharma,@Abhishe21915133,2024-06-30T16:36:50.000Z,False,"""शहरों में तबाही! देखिए कैसे प्राकृतिक आपदाओं ने अटल सेतु, जबलपुर एयरपोर्ट, दिल्ली T1 और अयोध्या को प्रभावित किया।  #NaturalDisaster #BreakingNews #India #ViralNews""",0,0,1,85,"['#NaturalDisaster', '#BreakingNews', '#India', '#ViralNews']",[],"['\\U0001f3da\\ufe0f', '\\U0001f6a7', '\\U0001f300']",https://pbs.twimg.com/profile_images/1776184645543219200/qqGlVmQt_normal.jpg,https://x.com/Abhishe21915133/status/1807453249387274401,tweet_id:1807453249387274401
The Daily Intake,@dailyintake2023,2024-06-30T14:30:00.000Z,False,Hurricane Beryl Intensifies to Dangerous Category 3  #Beryl #Huricane #HurricaneBeryl #Category3 #StormAlert #NHC #USNHC #WeatherUpdate #StaySafe #Barbados #Carribean #NaturalDisaster #AtlanticOcean #TheDailyIntake,0,0,0,587,"['#Beryl', '#Huricane', '#HurricaneBeryl', '#Category3', '#StormAlert', '#NHC', '#USNHC', '#WeatherUpdate', '#StaySafe', '#Barbados', '#Carribean', '#NaturalDisaster', '#AtlanticOcean', '#TheDailyIntake']",[],"['\\U0001f32a\\ufe0f', '\\u26a0\\ufe0f']",https://pbs.twimg.com/profile_images/1684527922470592513/_H2WCRNp_normal.jpg,https://x.com/dailyintake2023/status/1807421330830049494,tweet_id:1807421330830049494
Daily News - Trending | Breaking | Technology,@mirror7news,2024-06-30T13:32:58.000Z,False,Hurricane Beryl Threatens Caribbean Islands with Intensifying Windshttps://youtu.be/ZLTZ0uCDgXY#HurricaneBeryl #CaribbeanThreat #IntensifyingWinds #StormAlert #EmergencyPreparedness #NaturalDisaster #StaySafe #WeatherWarning #TropicalStorm #IslandImpact #hotnews #news #breakin,0,0,0,120,"['#HurricaneBeryl', '#CaribbeanThreat', '#IntensifyingWinds', '#StormAlert', '#EmergencyPreparedness', '#NaturalDisaster', '#StaySafe', '#WeatherWarning', '#TropicalStorm', '#IslandImpact', '#hotnews', '#news', '#breakin']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807406981252358546,tweet_id:1807406981252358546
Daily News - Trending | Breaking | Technology,@mirror7news,2024-06-30T13:15:52.000Z,False,Hurricane Beryl Threatens Caribbean Islands with Intensifying Windshttps://savinews.com/hurricane-beryl-threatens-caribbean-islands-with-intensifying-winds/…#HurricaneBeryl #CaribbeanThreat #IntensifyingWinds #StormAlert #EmergencyPreparedness #NaturalDisaster #StaySafe #We,0,0,0,99,"['#HurricaneBeryl', '#CaribbeanThreat', '#IntensifyingWinds', '#StormAlert', '#EmergencyPreparedness', '#NaturalDisaster', '#StaySafe', '#We']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807402676956573884,tweet_id:1807402676956573884
News18,@CNNnews18,2024-06-30T10:37:57.000Z,True,A massive #avalanche occurred over the #GandhiSarovar in #Kedarnath#KedarnathAvalanche #NaturalDisaster #kedarnathdham #KedarnathTemple #Uttarakhand https://news18.com/india/massive-avalanche-hits-gandhi-sarovar-in-kedarnath-no-casualties-reported-video-8949701.html…,0,2,6,2.3K,"['#avalanche', '#GandhiSarovar', '#Kedarnath', '#KedarnathAvalanche', '#NaturalDisaster', '#kedarnathdham', '#KedarnathTemple', '#Uttarakhand']",[],[],https://pbs.twimg.com/profile_images/1559788694709473280/j1s3zm5m_normal.jpg,https://x.com/CNNnews18/status/1807362935741673716,tweet_id:1807362935741673716
Nopolluting,@nopolluting,2024-06-30T06:58:13.000Z,True,"#BREAKING Severe flooding in Noasca, Italy, due to torrential rain and thunderstorms has caused life-threatening flash floods in the Orco Valley. #ItalyFloods #OrcoValley #floods #naturaldisaster",0,4,1,601,"['#BREAKING', '#ItalyFloods', '#OrcoValley', '#floods', '#naturaldisaster']",[],[],https://pbs.twimg.com/profile_images/1434437298737893377/MStLLIkk_normal.jpg,https://x.com/nopolluting/status/1807307636662010057,tweet_id:1807307636662010057
Asha Fassbender,@FassbenderENG,2024-06-30T01:51:25.000Z,False,Ascension Parish volunteers collecting supplies for tornado victims in Mississippi   #NaturalDisaster #Weather #Fire [Video]https://energynewsvideo.com/ascension-parish-volunteers-collecting-supplies-for-tornado-victims-in-mississippi-video/?uspl=mliaf01tw…,0,0,0,26,"['#NaturalDisaster', '#Weather', '#Fire']",[],[],https://pbs.twimg.com/profile_images/1565505770879426563/k0PWpbeU_normal.jpg,https://x.com/FassbenderENG/status/1807230428920873119,tweet_id:1807230428920873119
Daily News - Trending | Breaking | Technology,@mirror7news,2024-06-29T23:21:52.000Z,False,"Tropical Storm Beryl Strengthens, Likely to Become Hurricanehttps://youtu.be/njL753ybI3c#TropicalStormBeryl #HurricaneBeryl #StormStrengthens #WeatherAlert #TropicalWeather #HurricaneSeason #StaySafe #NaturalDisaster #EmergencyPreparedness #ClimateChange #hotnews #news #breaki",0,1,2,167,"['#TropicalStormBeryl', '#HurricaneBeryl', '#StormStrengthens', '#WeatherAlert', '#TropicalWeather', '#HurricaneSeason', '#StaySafe', '#NaturalDisaster', '#EmergencyPreparedness', '#ClimateChange', '#hotnews', '#news', '#breaki']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807192793208762399,tweet_id:1807192793208762399
Daily News - Trending | Breaking | Technology,@mirror7news,2024-06-29T23:02:08.000Z,False,"Tropical Storm Beryl Strengthens, Likely to Become Hurricanehttps://savinews.com/tropical-storm-beryl-strengthens-likely-to-become-hurricane/…#TropicalStormBeryl #HurricaneBeryl #StormStrengthens #WeatherAlert #TropicalWeather #HurricaneSeason #StaySafe #NaturalDisaster #Em",0,1,0,159,"['#TropicalStormBeryl', '#HurricaneBeryl', '#StormStrengthens', '#WeatherAlert', '#TropicalWeather', '#HurricaneSeason', '#StaySafe', '#NaturalDisaster', '#Em']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807187828444651531,tweet_id:1807187828444651531
SCMJobs,@SCMJobs247,2024-06-29T21:00:00.000Z,False,Automotive Supply Chain Superheroes: 7 Ways Your Expertise Can Fortify the Industry#AutomotiveSupplyChain #NaturalDisaster #LogisticsManagement #AutomotiveSupplyChain #supplychainmanagement #WarehouseManagement #Ecommerce #supplychain #SupplyChainLogistics #SCMJobs,0,0,0,12,"['#AutomotiveSupplyChain', '#NaturalDisaster', '#LogisticsManagement', '#AutomotiveSupplyChain', '#supplychainmanagement', '#WarehouseManagement', '#Ecommerce', '#supplychain', '#SupplyChainLogistics', '#SCMJobs']",[],[],https://pbs.twimg.com/profile_images/1753524174591553536/VtfoIy-g_normal.jpg,https://x.com/SCMJobs247/status/1807157093008359505,tweet_id:1807157093008359505
Daily News - Trending | Breaking | Technology,@mirror7news,2024-06-29T19:35:44.000Z,False,Tornado Strikes Osage City and Causes Extensive Damage at Melvern Lake Marinahttps://youtu.be/uCWtlF4CmDw#TornadoDamage #OsageCity #MelvernLake #NaturalDisaster #ExtremeWeather #EmergencyResponse #DisasterRelief #StormDamage #KansasWeather #TornadoSeason #hotnews #news #breaki,0,0,2,82,"['#TornadoDamage', '#OsageCity', '#MelvernLake', '#NaturalDisaster', '#ExtremeWeather', '#EmergencyResponse', '#DisasterRelief', '#StormDamage', '#KansasWeather', '#TornadoSeason', '#hotnews', '#news', '#breaki']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807135884929831300,tweet_id:1807135884929831300
Daily News - Trending | Breaking | Technology,@mirror7news,2024-06-29T19:17:33.000Z,False,Tornado Strikes Osage City and Causes Extensive Damage at Melvern Lake Marinahttps://savinews.com/tornado-strikes-osage-city-and-causes-extensive-damage-at-melvern-lake-marina/…#TornadoDamage #OsageCity #MelvernLake #NaturalDisaster #ExtremeWeather #EmergencyResponse #Disas,0,0,0,57,"['#TornadoDamage', '#OsageCity', '#MelvernLake', '#NaturalDisaster', '#ExtremeWeather', '#EmergencyResponse', '#Disas']",[],[],https://pbs.twimg.com/profile_images/1634420456416751617/EYfoXUvT_normal.jpg,https://x.com/mirror7news/status/1807131308939948473,tweet_id:1807131308939948473
CG Dial 112,@cgdial112,2024-06-29T12:50:32.000Z,False,किसी भी प्रकार के प्राकृतिक आपदा सम्बन्धी सुचना देने के लिए राज्य के आपदा प्रबंधन कण्ट्रोल रूम नंबर पर संपर्क करें।#cgdial112 #emergencyservices #sdma #naturaldisaster #chhattisgarhpolice #raipurpolice #HelpingHands   ,0,0,0,72,"['#cgdial112', '#emergencyservices', '#sdma', '#naturaldisaster', '#chhattisgarhpolice', '#raipurpolice', '#HelpingHands']","['@CG_Police', '@RaipurPoliceCG', '@RaipurDistrict']",[],https://pbs.twimg.com/profile_images/1112969712810504192/OPg51l9J_normal.png,https://x.com/cgdial112/status/1807033911559749720,tweet_id:1807033911559749720
GBN24 News,@Gbn24_News,2024-06-29T10:45:28.000Z,False,"शनिवार को अधिकारियों ने बताया कि लगातार बारिश के कारण रोइंग और पेने गांवों के बीच पश्चिमी सियांग जिले के आलो से शि-योमी जिले के मेचुखा तक का एक महत्वपूर्ण मार्ग क्षतिग्रस्त हो गया।

 #NaturalDisaster #WeatherUpdate #StateEmergency #SiangValley #Mechuka #RuralConnectivity #GBN24",0,0,0,7,"['#NaturalDisaster', '#WeatherUpdate', '#StateEmergency', '#SiangValley', '#Mechuka', '#RuralConnectivity', '#GBN24']",[],[],https://pbs.twimg.com/profile_images/1291686460546928640/R9yxbLAW_normal.jpg,https://x.com/Gbn24_News/status/1807002437636489381,tweet_id:1807002437636489381
GBN24 News,@Gbn24_News,2024-06-29T10:45:27.000Z,False,#भारी बारिश के कारण अरुणाचल प्रदेश में कई जगहों पर भूस्खलन हुआ है। भूस्खलन के कारण कई रास्ते बंद हो गए हैं और राज्य के कई जिलों से संपर्क टूट गया है।#RoadClosure #NaturalDisaster #WeatherUpdate #StateEmergency #WestSiang #SiangValley #Mechuka #RuralConnectivity #GBN24,1,0,0,10,"['#भारी', '#RoadClosure', '#NaturalDisaster', '#WeatherUpdate', '#StateEmergency', '#WestSiang', '#SiangValley', '#Mechuka', '#RuralConnectivity', '#GBN24']",[],[],https://pbs.twimg.com/profile_images/1291686460546928640/R9yxbLAW_normal.jpg,https://x.com/Gbn24_News/status/1807002434293682503,tweet_id:1807002434293682503
Prime Tv,@primetvindia,2024-06-29T08:52:46.000Z,False,Nepal में भारी बारिश ने मचाई तबाही लैंडस्लाइड और बाढ़ से हुई 7 लोगों की मौत#Nepal #roadaccidents #naturaldisaster #NepalPolice #Chandranigahpur #landslides #Flood,0,0,2,44,"['#Nepal', '#roadaccidents', '#naturaldisaster', '#NepalPolice', '#Chandranigahpur', '#landslides', '#Flood']",[],[],https://pbs.twimg.com/profile_images/1636667315436785665/u7xub0eo_normal.jpg,https://x.com/primetvindia/status/1806974076386214137,tweet_id:1806974076386214137
DXB News Network,@dxbnewsnetwork,2024-06-29T08:43:56.000Z,False,"Tragic Event in Nepal: Landslide Takes Nine Lives, Including Three Children
.
Read Full News: https://dxbnewsnetwork.com/nepal-tragedy-landslide-claims-lives-of-9-including-3-children….#Nepal #MonsoonSeason #Landslides #NaturalDisaster #Gulmi #dxbnewsnetwork #breakingnews #headlines #trendingnews #dxbnews #dxbdnn",0,0,1,41,"['#Nepal', '#MonsoonSeason', '#Landslides', '#NaturalDisaster', '#Gulmi', '#dxbnewsnetwork', '#breakingnews', '#headlines', '#trendingnews', '#dxbnews', '#dxbdnn']",[],[],https://pbs.twimg.com/profile_images/1730927064507695104/ZCJ9p7wi_normal.jpg,https://x.com/dxbnewsnetwork/status/1806971854609060131,tweet_id:1806971854609060131
Recanteur Media,@recanteurmedia,2024-06-29T08:42:43.000Z,False,"""Kathakar Mouli, a Community Storyteller, faced Cyclone Remal. Urgent need for #SundarbansInfrastructure and better #DisasterRelief At Recanteur, we empower communities.- https://recanteur.com/gallery/#cycloneremal #sundarbans #climateaction #naturaldisaster",0,0,0,18,"['#SundarbansInfrastructure', '#DisasterRelief', '#cycloneremal', '#sundarbans', '#climateaction', '#naturaldisaster']",[],['\\U0001f517'],https://pbs.twimg.com/profile_images/1803033659085348864/wOZw84EP_normal.jpg,https://x.com/recanteurmedia/status/1806971546508144799,tweet_id:1806971546508144799
🅹🅹🅶,@JordenJigmie,2024-06-29T07:08:04.000Z,False,"I guess it should have been the failed state of #WestBengal Govt first declare this as a #NaturalDisaster where the center would have agreed so and released the Disaster Releif Fund.
Here is an admittance of the states representative  from GTA admitting the same.",0,1,0,105,"['#WestBengal', '#NaturalDisaster']",['@AnitThapa14'],[],https://pbs.twimg.com/profile_images/1787668342645645313/ENdOry0d_normal.jpg,https://x.com/JordenJigmie/status/1806947729421017258,tweet_id:1806947729421017258
